date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,310,15,15,19.8,0,300,310,<15,<15,"19,80",,<300,B118,gruen,1,1
2018-05-28,150,15,15,21.1,0,300,150,<15,<15,"21,10",,<300,B118,gruen,1,1
2018-06-11,170,15,15,22.7,0,360,170,<15,<15,"22,7",,360,B118,gruen,1,1
2018-06-25,210,30,15,19.1,0,300,210,30,15,"19,1",,<300,B118,gruen,1,1
2018-07-09,220,15,15,21.6,0,300,220,<15,<15,"21,6",,<300,B118,gruen,1,1
2018-09-04,80,15,15,20.5,,300,80,<15,<15,"20,5",A,<300,B118,gruen_a,1,1
